Phylum,Class,Order,Family,Genus,Species,Common_name,Female_maturity_(days),Male_maturity_(days),Gestation/Incubation_(days),Weaning_(days),Litter/Clutch_size,Litters/Clutches_per_year,Inter-litter/Interbirth_interval,Birth_weight_(g),Weaning_weight_(g),Adult_weight_(g),Growth_rate_(1/days),Maximum_longevity_(yrs),Specimen_origin,IMR_(per_yr),MRDT_(yrs),Metabolic_rate_(W),Body_mass_(g),Temperature_(K)
Arthropoda,Branchiopoda,Diplostraca,Daphniidae,Daphnia,pulicaria,Daphnia,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.19,unknown,-1.0,-1.0,-1.0,-1.0,-1.0
Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila,melanogaster,Fruit fly,7.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.3,captivity,0.05,0.04,-1.0,-1.0,-1.0
Arthropoda,Insecta,Hymenoptera,Apidae,Apis,mellifera,Honey bee,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0
Arthropoda,Insecta,Hymenoptera,Formicidae,Cardiocondyla,obscurior,Cardiocondyla obscurior,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.5,captivity,-1.0,-1.0,-1.0,-1.0,-1.0
Arthropoda,Insecta,Hymenoptera,Formicidae,Lasius,niger,Black garden ant,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,28.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0
Arthropoda,Insecta,Lepidoptera,Nymphalidae,Bicyclus,anynana,Squinting bush brown,15.0,15.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.5,wild,-1.0,-1.0,-1.0,-1.0,-1.0
Arthropoda,Malacostraca,Decapoda,Nephropidae,Homarus,americanus,American lobster,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,wild,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Anura,Bombinatoridae,Bombina,bombina,Firebelly toad,1095.0,1095.0,-1.0,-1.0,190.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20.0,captivity,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Anura,Bombinatoridae,Bombina,orientalis,Oriental firebelly toad,-1.0,-1.0,-1.0,-1.0,148.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15.8,captivity,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Anura,Bombinatoridae,Bombina,variegata,Yellow-bellied toad,-1.0,-1.0,-1.0,-1.0,73.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,29.0,captivity,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,americanus,American toad,910.0,910.0,8.0,-1.0,6000.0,-1.0,365.0,-1.0,-1.0,21.7667,-1.0,36.0,captivity,-1.0,-1.0,0.00829,21.6,288.0
Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,boreas,Western toad,1095.0,1095.0,6.0,-1.0,5200.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.5,captivity,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,canorus,Yosemite toad,1825.0,1460.0,11.0,-1.0,1750.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15.0,wild,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,punctatus,Red-spotted toad,730.0,730.0,-1.0,-1.0,1500.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.3,captivity,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,terrestris,Southern toad,-1.0,-1.0,3.0,-1.0,3250.0,-1.0,-1.0,-1.0,-1.0,19.267,-1.0,10.0,captivity,-1.0,-1.0,0.00698,19.2,288.0
Chordata,Amphibia,Anura,Bufonidae,Atelopus,varius,Veragoa stubfoot toad,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.0,captivity,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Anura,Bufonidae,Bufo,bufo,Common European toad,1460.0,1460.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,40.0,captivity,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Anura,Bufonidae,Incilius,alvarius,Colorado river toad,-1.0,1095.0,-1.0,-1.0,7750.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15.4,captivity,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Anura,Bufonidae,Pseudepidalea,viridis,European green toad,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.9,captivity,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Anura,Bufonidae,Rhaebo,blombergi,Colombian giant toad,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,28.7,captivity,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Anura,Bufonidae,Rhinella,marina,Cane toad,365.0,365.0,2.0,-1.0,10000.0,-1.0,-1.0,-1.0,-1.0,106.25,-1.0,24.8,captivity,-1.0,-1.0,0.0303,105.0,293.0
Chordata,Amphibia,Anura,Ceratophryidae,Ceratophrys,calcarata,Colombian horned frog,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15.9,captivity,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Anura,Ceratophryidae,Ceratophrys,ornata,Ornate horned frog,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14.7,captivity,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Anura,Dendrobatidae,Dendrobates,auratus,Green and black dart-poison frog,365.0,365.0,12.0,-1.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20.5,captivity,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Anura,Dendrobatidae,Dendrobates,leucomelas,Yellow-banded poison frog,75.0,75.0,12.0,-1.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.5,captivity,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Anura,Dendrobatidae,Oophaga,histrionica,Kokoe-pa poison dart frog,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.1,captivity,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Anura,Dendrobatidae,Oophaga,pumilio,Strawberry poison frog,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.5,captivity,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Anura,Hylidae,Agalychnis,spurrelli,Maroon-eyed tree frog,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.5,captivity,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Anura,Hylidae,Diaglena,spatulata,Treefrog,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12.8,captivity,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Anura,Hylidae,Hyla,chrysoscelis,Cope's gray treefrog,730.0,547.0,21.0,-1.0,35.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.8,captivity,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Anura,Hylidae,Hyla,gratiosa,Barking treefrog,-1.0,-1.0,-1.0,-1.0,2250.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12.5,captivity,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Anura,Hylidae,Hyla,squirella,Squirrel treefrog,-1.0,-1.0,1.0,-1.0,1000.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.5,captivity,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Anura,Hylidae,Hyla,versicolor,Gray treefrog,730.0,730.0,4.0,-1.0,1800.0,-1.0,-1.0,-1.0,-1.0,7.2,-1.0,7.8,captivity,-1.0,-1.0,0.00433,6.97,290.5
Chordata,Amphibia,Anura,Hylidae,Litoria,caerulea,Australian green treefrog,-1.0,-1.0,-1.0,-1.0,1100.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20.0,captivity,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Anura,Hylidae,Osteopilus,septentrionalis,Cuban treefrog,255.0,120.0,1.0,-1.0,1500.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12.9,captivity,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Anura,Hylidae,Phyllomedusa,bicolor,Waxy treefrog,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.3,captivity,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Anura,Leiopelmatidae,Ascaphus,truei,Coastal tailed frog,-1.0,-1.0,32.0,-1.0,62.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14.0,wild,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Anura,Leptodactylidae,Leptodactylus,pentadactylus,Tungara frog,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18.8,captivity,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Anura,Mantellidae,Mantella,aurantiaca,Golden mantella,-1.0,-1.0,14.0,-1.0,40.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.9,captivity,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Anura,Microhylidae,Kaloula,pulchra,Malaysian narrowmouth toad,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.0,captivity,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Anura,Microhylidae,Phrynomantis,bifasciatus,Red-banded frog,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.3,captivity,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Anura,Pelobatidae,Pelobates,fuscus,Common Eurasian spadefoot toad,-1.0,-1.0,8.0,-1.0,1740.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.0,captivity,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Anura,Pipidae,Pipa,pipa,Surinam toad,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.7,captivity,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Anura,Pipidae,Xenopus,laevis,African clawed frog,183.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,130.0,-1.0,30.3,captivity,-1.0,-1.0,0.012,63.6,288.0
Chordata,Amphibia,Anura,Pyxicephalidae,Pyxicephalus,adspersus,African bullfrog,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,45.0,captivity,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Anura,Ranidae,Lithobates,catesbeianus,American bullfrog,1277.0,730.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,54.4,-1.0,16.0,captivity,-1.0,-1.0,0.0134,51.2,288.0
Chordata,Amphibia,Anura,Ranidae,Lithobates,clamitans,Green frog,730.0,730.0,-1.0,-1.0,4000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.0,captivity,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Anura,Ranidae,Lithobates,pipiens,Northern leopard frog,730.0,365.0,-1.0,-1.0,4146.0,-1.0,-1.0,-1.0,-1.0,29.0222,-1.0,9.0,wild,-1.0,-1.0,0.00576,21.6,289.78
Chordata,Amphibia,Anura,Ranidae,Lithobates,septentrionalis,Mink frog,730.0,547.0,-1.0,-1.0,2250.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,wild,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Anura,Ranidae,Pelophylax,lessonae,Pool frog,-1.0,-1.0,-1.0,-1.0,2420.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,wild,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Anura,Ranidae,Pelophylax,nigromaculatus,Black-spotted frog,730.0,730.0,-1.0,-1.0,2800.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15.0,wild,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Anura,Ranidae,Pelophylax,ridibundus,Marsh frog,1460.0,1095.0,-1.0,-1.0,6835.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.0,wild,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Anura,Ranidae,Rana,amurensis,Siberian wood frog,1640.0,1640.0,-1.0,-1.0,2125.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,wild,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Anura,Ranidae,Rana,arvalis,Moor frog,-1.0,-1.0,-1.0,-1.0,1750.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.0,wild,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Anura,Ranidae,Rana,aurora,California red-legged frog,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15.0,wild,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Anura,Ranidae,Rana,esculenta,Edible frog,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12.0,wild,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Anura,Ranidae,Rana,iberica,Iberian frog,-1.0,-1.0,-1.0,-1.0,318.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,wild,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Anura,Ranidae,Rana,macrocnemis,Long-legged wood frog,912.0,912.0,-1.0,-1.0,2040.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,wild,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Anura,Ranidae,Rana,temporaria,European frog,1095.0,1095.0,-1.0,-1.0,2585.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,27.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Anura,Scaphiopodidae,Spea,intermontana,Great Basin spadefoot,-1.0,-1.0,3.0,-1.0,676.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20.0,wild,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,macrodactylum,Long-toed salamander,730.0,730.0,40.0,-1.0,250.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.0,wild,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,maculatum,Spotted salamander,1095.0,730.0,-1.0,-1.0,125.0,-1.0,-1.0,-1.0,-1.0,12.84,-1.0,32.0,unknown,-1.0,-1.0,0.005,12.8,290.0
Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,mexicanum,Axolotl,548.0,548.0,18.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17.0,captivity,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,talpoideum,Mole salamander,730.0,730.0,-1.0,-1.0,350.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,texanum,Small-mouthed salamander,-1.0,-1.0,35.0,-1.0,625.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.8,captivity,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,tigrinum,Tiger salamander,1460.0,1460.0,28.0,-1.0,37.0,-1.0,-1.0,-1.0,-1.0,9.402000000000001,-1.0,25.0,captivity,-1.0,-1.0,0.00196,3.21,291.0
Chordata,Amphibia,Caudata,Ambystomatidae,Dicamptodon,ensatus,California giant salamander,-1.0,-1.0,150.0,-1.0,85.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.9,captivity,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Caudata,Cryptobranchidae,Cryptobranchus,alleganiensis,Hellbender,1825.0,1825.0,72.0,-1.0,275.0,-1.0,-1.0,-1.0,-1.0,358.1,-1.0,29.0,wild,-1.0,-1.0,0.0253,358.0,288.0
Chordata,Amphibia,Caudata,Hynobiidae,Hynobius,nebulosus,Clouded salamander,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14.2,captivity,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Caudata,Hynobiidae,Onychodactylus,fischeri,Long-tailed clawed salamander,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17.0,wild,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Caudata,Hynobiidae,Salamandrella,keyserlingii,Siberian salamander,-1.0,-1.0,23.0,-1.0,70.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,wild,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Caudata,Plethodontidae,Desmognathus,monticola,Seal salamander,1642.0,1277.0,45.0,-1.0,25.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17.7,captivity,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Caudata,Plethodontidae,Desmognathus,ochrophaeus,Allegheny mountain dusky salamander,1280.0,1280.0,-1.0,-1.0,16.0,-1.0,-1.0,-1.0,-1.0,0.6,-1.0,19.8,captivity,0.3,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Caudata,Plethodontidae,Plethodon,cinereus,Eastern red-backed salamander,730.0,730.0,-1.0,-1.0,8.0,-1.0,-1.0,-1.0,-1.0,0.5,-1.0,25.0,wild,-1.0,-1.0,9.9e-05,0.76,278.5
Chordata,Amphibia,Caudata,Plethodontidae,Plethodon,jordani,Red-cheeked salamander,1825.0,1095.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,19.8,captivity,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Caudata,Proteidae,Necturus,maculosus,Mudpuppy,2190.0,1825.0,50.0,-1.0,68.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,34.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Caudata,Proteidae,Proteus,anguinus,Olm,4124.0,-1.0,133.0,-1.0,35.0,-1.0,4562.0,-1.0,-1.0,17.0,-1.0,102.0,wild,-1.0,999.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Caudata,Salamandridae,Calotriton,asper,Pyrenean brook newt,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,26.0,wild,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Caudata,Salamandridae,Cynops,ensicauda,Brown newt,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17.9,captivity,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Caudata,Salamandridae,Cynops,pyrrhogaster,Japanese firebelly newt,913.0,913.0,20.0,-1.0,200.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,25.0,captivity,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Caudata,Salamandridae,Lissotriton,boscai,Bosca's newt,-1.0,-1.0,-1.0,-1.0,160.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,wild,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Caudata,Salamandridae,Lissotriton,vulgaris,Smooth newt,1095.0,730.0,-1.0,-1.0,180.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20.0,captivity,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Caudata,Salamandridae,Notophthalmus,perstriatus,Striped newt,487.0,487.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12.9,captivity,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Caudata,Salamandridae,Notophthalmus,viridescens,Eastern newt,2000.0,2000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,25.0,captivity,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Caudata,Salamandridae,Paramesotriton,chinensis,Asian newt,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.3,captivity,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Caudata,Salamandridae,Pleurodeles,waltl,Iberian ribbed newt,-1.0,-1.0,13.0,-1.0,725.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,19.5,captivity,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Caudata,Salamandridae,Salamandra,atra,Golden alpine salamander,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17.0,wild,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Caudata,Salamandridae,Salamandra,salamandra,European fire salamander,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,19.1,-1.0,24.0,captivity,-1.0,-1.0,0.00857,19.1,288.0
Chordata,Amphibia,Caudata,Salamandridae,Triturus,carnifex,Italian crested newt,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.0,wild,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Caudata,Salamandridae,Triturus,cristatus,Northern crested newt,-1.0,-1.0,16.0,-1.0,225.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,28.0,captivity,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Caudata,Salamandridae,Tylototriton,verrucosus,Mandarin salamander,1460.0,1460.0,-1.0,-1.0,43.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.0,wild,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Caudata,Sirenidae,Siren,intermedia,Lesser siren,730.0,730.0,60.0,-1.0,350.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,25.7,captivity,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,cooperii,Cooper's hawk,730.0,730.0,24.0,-1.0,4.0,1.0,-1.0,28.0,-1.0,526.64,0.212,20.3,wild,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,gentilis,Northern goshawk,365.0,730.0,33.0,-1.0,3.0,1.0,-1.0,-1.0,-1.0,1044.2,0.225,22.0,wild,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,nisus,Eurasian sparrowhawk,365.0,365.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,237.5,0.258,20.2,wild,-1.0,-1.0,0.9516,135.0,-1.0
Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,striatus,Sharp-shinned hawk,365.0,365.0,34.0,-1.0,4.0,1.0,-1.0,-1.0,-1.0,135.0,-1.0,19.9,wild,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Aves,Accipitriformes,Accipitridae,Aegypius,monachus,Cinereous vulture,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9625.0,-1.0,39.0,captivity,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Aves,Accipitriformes,Accipitridae,Aquila,chrysaetos,Golden eagle,1460.0,1460.0,40.0,-1.0,2.0,1.0,-1.0,110.6,-1.0,4800.0,0.126,48.0,captivity,-1.0,-1.0,4.9929,3000.0,-1.0
Chordata,Aves,Accipitriformes,Accipitridae,Aquila,heliaca,Eastern imperical eagle,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3262.0,-1.0,56.0,captivity,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Aves,Accipitriformes,Accipitridae,Aquila,pomarina,Lesser spotted eagle,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1370.0,-1.0,26.1,wild,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Aves,Accipitriformes,Accipitridae,Aquila,rapax,Tawny eagle,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1996.1,0.09300000000000001,40.3,captivity,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Aves,Accipitriformes,Accipitridae,Butastur,indicus,Grey-faced buzzard,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,415.0,-1.0,8.5,wild,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Aves,Accipitriformes,Accipitridae,Buteo,buteo,Buzzard,730.0,730.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1012.0,0.18899999999999997,28.8,wild,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Aves,Accipitriformes,Accipitridae,Buteo,jamaicensis,Red-tailed hawk,730.0,730.0,31.0,-1.0,3.0,1.0,-1.0,57.6,-1.0,1362.0,0.188,30.7,wild,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Aves,Accipitriformes,Accipitridae,Buteo,lineatus,Red-shouldered hawk,365.0,365.0,33.0,-1.0,3.5,1.0,-1.0,35.0,-1.0,607.0,-1.0,22.4,wild,-1.0,-1.0,2.11,658.0,-1.0
Chordata,Aves,Accipitriformes,Accipitridae,Buteo,regalis,Ferruginous hawk,730.0,730.0,32.0,-1.0,3.0,1.0,-1.0,51.6,-1.0,1500.0,0.171,23.7,wild,-1.0,-1.0,-1.0,-1.0,-1.0
